,MA_SO_SV,HOC_KY,TC_DANGKY,TC_HOANTHANH,GPA,CPA,semester_order,NAM_TUYENSINH,PTXT,TOHOP_XT,DIEM_TRUNGTUYEN,DIEM_CHUAN,ADMISSION_GAP
0,00003e092652,HK1 2024-2025,20,0,0,0,20241,2023,100,A00,21.32,20.25,1.0700000000000003
1,00027b0dec4c,HK1 2024-2025,19,0,0,0,20241,2024,100,A00,25.04,24.87,0.16999999999999815
2,000e15519006,HK1 2024-2025,19,0,0,0,20241,2021,1,D07,23.84,22.43,1.4100000000000001
3,000ea6e12003,HK1 2024-2025,20,0,0,0,20241,2023,100,D01,25.14,24.08,1.0600000000000023
4,00109b845a3d,HK1 2024-2025,15,0,0,0,20241,2023,100,V00,20.09,18.98,1.1099999999999994
5,0014115af99a,HK1 2024-2025,19,0,0,0,20241,2024,100,A00,22.12,21.53,0.5899999999999999
6,001b5a9fcfa6,HK1 2024-2025,21,0,0,0,20241,2021,1,A00,23.62,23.13,0.490000000000002
7,0020f96b0fb0,HK1 2024-2025,18,0,0,0,20241,2022,100,V02,25.36,20.76,4.599999999999998
8,00279020231c,HK1 2024-2025,17,0,0,0,20241,2024,100,D07,25.12,24.91,0.21000000000000085
9,00291ce5881b,HK1 2024-2025,22,0,0,0,20241,2020,1,A00,24.27,22.04,2.2300000000000004
10,0029c0f6e072,HK1 2024-2025,2,0,0,0,20241,2020,1,V00,22.58,22.18,0.3999999999999986
11,002dafe89f63,HK1 2024-2025,14,0,0,0,20241,2020,1,D07,26.23,21.81,4.420000000000002
12,0030bf7a79ad,HK1 2024-2025,19,0,0,0,20241,2024,200,A00,26.02,24.99,1.0300000000000011
13,003128363a67,HK1 2024-2025,22,0,0,0,20241,2023,200,A00,25.65,25.49,0.16000000000000014
14,003c3ce8e8b8,HK1 2024-2025,27,0,0,0,20241,2020,1,V00,25.06,21.98,3.0799999999999983
15,003f2228245a,HK1 2024-2025,9,0,0,0,20241,2020,1,A00,24.26,21.72,2.5400000000000027
16,003f354f2523,HK1 2024-2025,18,0,0,0,20241,2022,100,A00,25.71,25.56,0.15000000000000213
17,00427c18b9df,HK1 2024-2025,16,0,0,0,20241,2022,100,A01,24.58,23.25,1.3299999999999983
18,00447c1c9c46,HK1 2024-2025,8,0,0,0,20241,2020,1,A01,21.49,19.31,2.1799999999999997
19,004a76869c57,HK1 2024-2025,2,0,0,0,20241,2020,1,A00,22.09,21.4,0.6900000000000013
20,0051798286b7,HK1 2024-2025,7,0,0,0,20241,2019,1,A00,21.73,19.48,2.25
21,0054c4a9a92c,HK1 2024-2025,21,0,0,0,20241,2023,100,A01,23.09,22.95,0.14000000000000057
22,0058438890a2,HK1 2024-2025,1,0,0,0,20241,2021,1,A01,20.59,15.76,4.83
23,0058ae30b726,HK1 2024-2025,19,0,0,0,20241,2021,1,A00,24.68,23.93,0.75
24,005aa414472d,HK1 2024-2025,20,0,0,0,20241,2022,100,A01,22.58,20.25,2.3299999999999983
25,005abf04381e,HK1 2024-2025,24,0,0,0,20241,2023,100,V00,25.49,21.95,3.539999999999999
26,005c38371f88,HK1 2024-2025,22,0,0,0,20241,2023,100,A00,20.25,16.83,3.4200000000000017
27,005d8d94a42e,HK1 2024-2025,15,0,0,0,20241,2024,200,A01,25.71,25.68,0.030000000000001137
28,005ee68917cd,HK1 2024-2025,15,0,0,0,20241,2024,200,D01,26.15,26.15,0.0
