iter	RMSE
0	5.958200184
1	5.448772974
2	4.974113664
3	4.550519751
4	4.160841243
5	3.813934257
6	3.506484985
7	3.217780117
8	2.948571121
9	2.711933123
10	2.486449285
11	2.280650697
12	2.093229973
13	1.920214439
14	1.771582723
15	1.636251825
16	1.514960028
17	1.392690991
18	1.288976889
19	1.189688383
20	1.101369413
21	1.019293769
22	0.9439486534
23	0.8764976789
24	0.8136387914
25	0.7578800175
26	0.7092217729
27	0.663392711
28	0.6220285645
29	0.5828428796
30	0.5465383976
31	0.513335824
32	0.4849309339
33	0.458170648
34	0.4346905341
35	0.4119872368
36	0.3934123136
37	0.3763049876
38	0.3605635868
39	0.3456271667
40	0.3332242772
41	0.3206423321
42	0.3104359996
43	0.3012236505
44	0.29376257
45	0.2857026246
46	0.2788520358
47	0.2703271551
48	0.264708003
49	0.2583106668
50	0.2525625679
51	0.2468302602
52	0.2413738453
53	0.2368291612
54	0.2323438514
55	0.2292371894
56	0.2255572549
57	0.2215724016
58	0.221297842
59	0.2210251169
60	0.2181643841
61	0.2143962782
62	0.2114412791
63	0.2097657219
64	0.2073001407
65	0.2052230542
66	0.2041525066
67	0.2019641523
68	0.2012989502
69	0.1996306769
70	0.198758875
71	0.1972577455
72	0.1964423267
73	0.1963065385
74	0.1938763675
75	0.193734232
76	0.1914948064
77	0.1913788097
78	0.19087983
79	0.1889182216
80	0.1873311021
81	0.186406966
82	0.1846870683
83	0.1833119425
84	0.1824674056
85	0.1804464709
86	0.1790706031
87	0.1776056945
88	0.1759162854
89	0.1756403785
90	0.1738300474
91	0.1729610093
92	0.1720095931
93	0.1708766875
94	0.1695917301
95	0.1678383376
96	0.1666398637
97	0.1657498702
98	0.1645102953
99	0.1637860718
