iter	Passed	Remaining
0	208	41550
1	261	25885
2	316	20807
3	371	18187
4	422	16459
5	472	15266
6	526	14513
7	579	13898
8	634	13457
9	687	13067
10	743	12775
11	800	12538
12	853	12282
13	906	12050
14	960	11840
15	1012	11642
16	1064	11459
17	1120	11332
18	1175	11194
19	1228	11052
20	1281	10927
21	1334	10795
22	1387	10680
23	1440	10565
24	1493	10451
25	1547	10354
26	1601	10263
27	1660	10199
28	1716	10120
29	1770	10034
30	1824	9944
31	1876	9849
32	1930	9771
33	1986	9697
34	2038	9609
35	2093	9537
36	2148	9465
37	2201	9386
38	2253	9304
39	2306	9227
40	2358	9144
41	2408	9061
42	2461	8987
43	2514	8913
44	2563	8831
45	2619	8768
46	2667	8682
47	2720	8614
48	2770	8539
49	2821	8465
50	2871	8390
51	2924	8322
52	2980	8265
53	3034	8205
54	3088	8142
55	3142	8080
56	3193	8012
57	3248	7953
58	3301	7889
59	3357	7835
60	3409	7768
61	3462	7706
62	3512	7639
63	3566	7578
64	3617	7512
65	3671	7453
66	3723	7391
67	3773	7325
68	3825	7262
69	3875	7198
70	3926	7134
71	3975	7067
72	4027	7006
73	4079	6946
74	4132	6887
75	4187	6831
76	4240	6773
77	4292	6714
78	4348	6660
79	4399	6599
80	4451	6539
81	4504	6481
82	4560	6428
83	4618	6378
84	4673	6322
85	4728	6267
86	4779	6207
87	4833	6152
88	4886	6093
89	4938	6035
90	4991	5978
91	5040	5916
92	5092	5859
93	5148	5805
94	5200	5747
95	5251	5688
96	5304	5633
97	5357	5576
98	5409	5519
99	5460	5460
100	5513	5404
101	5566	5348
102	5616	5289
103	5670	5234
104	5722	5177
105	5774	5120
106	5827	5064
107	5882	5010
108	5936	4956
109	5987	4898
110	6042	4845
111	6095	4789
112	6146	4732
113	6197	4675
114	6250	4620
115	6304	4565
116	6354	4508
117	6407	4452
118	6461	4398
119	6513	4342
120	6564	4285
121	6615	4229
122	6664	4171
123	6717	4117
124	6774	4064
125	6827	4010
126	6878	3953
127	6928	3897
128	6978	3840
129	7030	3785
130	7084	3731
131	7132	3674
132	7183	3618
133	7232	3562
134	7285	3507
135	7337	3453
136	7391	3398
137	7444	3344
138	7494	3289
139	7547	3234
140	7602	3181
141	7657	3127
142	7710	3073
143	7762	3018
144	7812	2963
145	7864	2908
146	7916	2854
147	7967	2799
148	8016	2743
149	8065	2688
150	8115	2633
151	8168	2579
152	8219	2524
153	8272	2470
154	8321	2416
155	8374	2361
156	8424	2307
157	8472	2252
158	8527	2198
159	8579	2144
160	8630	2090
161	8675	2035
162	8727	1980
163	8780	1927
164	8827	1872
165	8876	1818
166	8927	1764
167	8975	1709
168	9024	1655
169	9077	1601
170	9126	1547
171	9180	1494
172	9232	1440
173	9286	1387
174	9338	1334
175	9388	1280
176	9435	1226
177	9487	1172
178	9538	1119
179	9583	1064
180	9635	1011
181	9690	958
182	9742	905
183	9795	851
184	9848	798
185	9898	745
186	9949	691
187	10002	638
188	10054	585
189	10110	532
190	10161	478
191	10208	425
192	10262	372
193	10309	318
194	10361	265
195	10410	212
196	10459	159
197	10511	106
198	10556	53
199	10608	0
