MA_SO_SV,HOC_KY,CPA,GPA,TC_DANGKY,TC_HOANTHANH,semester_order,NAM_TUYENSINH,PTXT,TOHOP_XT,DIEM_TRUNGTUYEN,DIEM_CHUAN,COMPLETION_RATE,set_type,Prev_GPA,Prev_CPA,Prev_TC_HOANTHANH,Prev_TC_DANGKY,is_freshman,diem_vuot_chuan,nam_tuoi,semester_number,prev_gpa_cpa_diff,prev_completion_rate,load_factor,failed_last_sem,gpa_trend_slope,gpa_volatility,total_credits_failed,accumulated_fail_ratio,credit_velocity,aggressive_recovery,expected_real_credits
00003e092652,HK1 2024-2025,0.0,0.0,20,0,20241,2023,100,A00,21.32,20.25,,TEST,2.05,1.53,13.0,18.0,0,1.0700000000000003,3,3,0.5199999999999998,0.7222222221820987,2.142857142627551,1,0.07999984000031984,0.056568542494923775,8.0,0.2222222222160494,9.333333333333334,1,15.555555555679012
00027b0dec4c,HK1 2024-2025,0.0,0.0,19,0,20241,2024,100,A00,25.04,24.87,,TEST,-1.0,-1.0,0.0,0.0,1,0.16999999999999815,2,1,0.0,0.0,19000000000.0,0,0.0,0.0,0.0,0.0,0.0,0,19.0
000e15519006,HK1 2024-2025,0.0,0.0,19,0,20241,2021,1,D07,23.84,22.43,,TEST,2.73,2.34,19.0,22.0,0,1.4100000000000001,5,7,0.3900000000000001,0.8636363635971074,1.0439560438986837,1,-0.09499995250002372,0.12935738607954914,9.0,0.08256880733869203,14.285714285714286,0,17.431192660564854
000ea6e12003,HK1 2024-2025,0.0,0.0,20,0,20241,2023,100,D01,25.14,24.08,,TEST,2.18,1.9,18.0,20.0,0,1.0600000000000023,3,3,0.28000000000000025,0.899999999955,2.142857142627551,1,-0.1499997000005999,0.1060660171779819,9.0,0.24324324323666913,9.333333333333334,0,15.135135135266617
00109b845a3d,HK1 2024-2025,0.0,0.0,15,0,20241,2023,100,V00,20.09,18.98,,TEST,2.32,0.57,5.0,20.0,0,1.1099999999999994,3,3,1.75,0.2499999999875,6.428571425816326,1,-0.19999960000080017,0.14142135623730964,27.0,0.7941176470354672,2.3333333333333335,0,3.0882352944679923
0014115af99a,HK1 2024-2025,0.0,0.0,19,0,20241,2024,100,A00,22.12,21.53,,TEST,-1.0,-1.0,0.0,0.0,1,0.5899999999999999,2,1,0.0,0.0,19000000000.0,0,0.0,0.0,0.0,0.0,0.0,0,19.0
001b5a9fcfa6,HK1 2024-2025,0.0,0.0,21,0,20241,2021,1,A00,23.62,23.13,,TEST,2.07,1.06,10.0,18.0,0,0.490000000000002,5,7,1.0099999999999998,0.5555555555246914,1.249999999925595,1,0.004999997500001143,0.037416573867740575,33.0,0.25190839694464195,14.0,1,15.709923664162519
0020f96b0fb0,HK1 2024-2025,0.0,0.0,18,0,20241,2022,100,V02,25.36,20.76,,TEST,3.46,3.06,21.0,21.0,0,4.599999999999998,4,5,0.3999999999999999,0.999999999952381,1.184210526237881,0,-0.09499995250002372,0.2061350689879493,0.0,0.0,15.2,0,18.0
00279020231c,HK1 2024-2025,0.0,0.0,17,0,20241,2024,100,D07,25.12,24.91,,TEST,-1.0,-1.0,0.0,0.0,1,0.21000000000000085,2,1,0.0,0.0,16999999999.999998,0,0.0,0.0,0.0,0.0,0.0,0,17.0
00291ce5881b,HK1 2024-2025,0.0,0.0,22,0,20241,2020,1,A00,24.27,22.04,,TEST,2.14,1.48,8.0,14.0,0,2.2300000000000004,6,9,0.6600000000000001,0.571428571387755,1.6666666665404042,1,-0.004999997500001143,0.018929694486004803,33.0,0.22448979591684023,12.666666666666666,1,17.061224489829513
