feature,importance
TC_DANGKY,378
gpa_trend,222
gpa_cpa_ratio,152
CPA,128
gpa_cpa_diff,67
GPA,60
total_tc_completed_lag1,50
avg_completion_rate_lag1,37
semester_number,20
NAM_TUYENSINH,13
num_previous_semesters,6
avg_gpa,5
avg_gpa_lag1,1
TOHOP_XT,1
DIEM_CHUAN,0
diem_vuot_chuan,0
PTXT,0
hoc_ky_nam,0
tc_dangky_low,0
tc_dangky_high,0
diem_ratio,0
nam_tuoi,0
DIEM_TRUNGTUYEN,0
hoc_ky_so,0
is_semester_2,0
gpa_good,0
gpa_excellent,0
cpa_poor,0
cpa_fair,0
cpa_good,0
cpa_excellent,0
gpa_fair,0
gpa_poor,0
