feature,importance
CPA,0.4569979889970444
TC_DANGKY,0.40661052663415964
gpa_cpa_ratio,0.08576924648347857
gpa_trend,0.023387499708512515
avg_completion_rate_lag1,0.0049572396859840885
tc_dangky_high,0.004106526339949943
total_tc_completed_lag1,0.003570562458488739
gpa_cpa_diff,0.002137020115216254
DIEM_TRUNGTUYEN,0.001482590120596296
semester_number,0.001438999661049872
DIEM_CHUAN,0.0014317870725773286
GPA,0.0012103560274560547
avg_gpa_lag1,0.0011265172490305126
avg_gpa,0.0009487353770443848
diem_ratio,0.0009322390701123668
diem_vuot_chuan,0.0008446776598411549
num_previous_semesters,0.0006738948111329122
nam_tuoi,0.00044939240427904965
NAM_TUYENSINH,0.00044066978304658984
hoc_ky_nam,0.0003945981519178765
TOHOP_XT,0.0003930350995446861
tc_dangky_low,0.00033322491784571633
is_semester_2,0.00012582091643216142
hoc_ky_so,0.000121897161187825
cpa_poor,3.197200985788131e-05
PTXT,2.608341765898069e-05
gpa_fair,2.414974050877209e-05
gpa_poor,1.9332661806175732e-05
cpa_fair,8.065195480484842e-06
gpa_good,2.653174624846324e-06
cpa_good,1.3823427506812791e-06
gpa_excellent,1.1842567569949142e-06
cpa_excellent,1.3129462623103473e-07
