feature,importance
CPA,0.43836293
TC_DANGKY,0.2926128
gpa_cpa_ratio,0.21251634
gpa_trend,0.015603212
gpa_cpa_diff,0.00790186
avg_completion_rate_lag1,0.0065327594
GPA,0.0054424535
total_tc_completed_lag1,0.0037737924
semester_number,0.0031738626
NAM_TUYENSINH,0.0025136352
hoc_ky_so,0.002108603
num_previous_semesters,0.0019383138
TOHOP_XT,0.0018584662
hoc_ky_nam,0.001368673
avg_gpa,0.00095072394
avg_gpa_lag1,0.00092215545
DIEM_CHUAN,0.0006339581
PTXT,0.00056750176
diem_ratio,0.00044050798
DIEM_TRUNGTUYEN,0.0004194175
diem_vuot_chuan,0.0003580618
tc_dangky_low,0.0
cpa_excellent,0.0
cpa_good,0.0
cpa_fair,0.0
cpa_poor,0.0
gpa_excellent,0.0
gpa_good,0.0
gpa_fair,0.0
gpa_poor,0.0
tc_dangky_high,0.0
nam_tuoi,0.0
is_semester_2,0.0
