feature,importance
tc_dangky_low,0.34456548
tc_dangky_high,0.24194261
expected_real_credits,0.14082171
TC_DANGKY,0.06566218
failed_last_sem,0.021412883
accumulated_fail_ratio,0.016618365
Prev_CPA,0.015070756
prev_completion_rate,0.013571396
is_semester_2,0.0114013655
load_factor,0.011046895
is_first_semester,0.0107881315
Prev_TC_HOANTHANH,0.010124462
is_overloaded,0.010026658
recent_fail_spike,0.008679541
total_credits_failed,0.008355066
aggressive_recovery,0.008231612
nam_tuoi,0.0077242767
historical_pass_rate,0.007116318
NAM_TUYENSINH,0.006913517
risk_score,0.0062092487
semester_number,0.0055455905
gpa_trend_slope,0.0043271026
Prev_TC_DANGKY,0.0041060215
DIEM_TRUNGTUYEN,0.0037916943
PTXT,0.0037639244
Prev_GPA,0.003547376
DIEM_CHUAN,0.0032662165
TOHOP_XT,0.0030260452
diem_vuot_chuan,0.0023435229
